,Unnamed: 0,date,text,GPE,gpe,country,score
11516,11516,2013/01/21_10:16,I want to look out one more time.,[],,,
196,196,2018/09/29_09:29,Keep up the good work.pic.twitter.com/AVtuBPHdr2,[],,,
965,965,2016/07/18_11:45,The majority of Americans believe Judge Garland should get a fair hearingâ€”add your name if you agree.,[],,,
362,362,2017/07/19_17:49,Cancer doesn't know what it's up against.,[],,,
275,275,2018/02/14_08:25,You make every day and every place better.pic.twitter.com/aWvyytR7Mm,[],,,
1710,1710,2016/01/28_10:22,The open enrollment period ends on Sundayâ€”talk to your friends about how they can #GetCovered: http://ofa.bo/b5ajÂ,[],,,
9885,9885,2013/07/17_08:14,This is making a difference in the lives of the American people.,[],,,
7276,7276,2014/02/14_17:02,â€”President Obama,[],,,
5444,5444,2014/07/21_08:59,WATCH: President Obama is participating in a town hall at @WalkerJonesEC about the #MyBrothersKeeper initiative.,[],,,
9556,9556,2013/08/06_13:33,You know before you owe.,[],,,
6812,6812,2014/03/18_13:05,http://ofa.bo/bKBÂ  #ActOnClimate,[],,,
11079,11079,2013/03/01_08:39,Happening now: President Obama delivers a statement on impending budget cuts.http://wh.gov/liveÂ,[],,,
1022,1022,2016/06/27_11:15,Say you'll keep fighting to protect a woman's right to make her own reproductive choices.,[],,,
1491,1491,2016/03/19_12:45,Give Judge Garland the respect he has earned.,[],,,
2520,2520,2015/09/09_10:29,Solar energy is heading toward a record-setting year for growth.,[],,,
1031,1031,2016/06/26_15:13,http://ofa.bo/hAS6Â  #LoveIsLove,[],,,
3254,3254,2015/06/05_10:15,If all 50 states expanded Medicaid they would save billions of dollars and thousands of lives.,[],,,
8125,8125,2013/12/09_16:00,There are only two weeks left to get a health care plan that starts on January 1st.,[],,,
2083,2083,2015/12/10_14:55,Enroll by December 15th and you'll ring in the new year with the security of health insurance: http://ofa.bo/i9XcÂ  #GetCovered,[],,,
8132,8132,2013/12/09_12:33,Period.,[],,,
5864,5864,2014/06/13_10:44,http://ofa.bo/em9Â  #DegreesNotDebt,[],,,
11680,11680,2013/01/01_20:20,http://www.wh.gov/liveÂ,[],,,
3452,3452,2015/04/25_15:57,Watch it here: http://ofa.bo/s4u7Â,[],,,
10919,10919,2013/03/15_12:12,We invent.,[],,,
5561,5561,2014/07/10_10:47,Happening now: The President is in Austin talking about growing the economy.,[],,,
9304,9304,2013/08/25_17:26,If you're one of millions of young Americans w/out health insurance you can get affordable coverage starting Oct. 1 http://OFA.BO/HealthcareÂ,[],,,
11692,11692,2012/12/31_11:24,â€”President Obama,[],,,
9380,9380,2013/08/21_08:10,Ask Congress #WhatWillItTake to act on gun violence prevention: http://OFA.BO/tj3fJSÂ,[],,,
2765,2765,2015/07/27_09:01,American businesses are pledging $140 billion to reduce carbon pollution and #ActOnClimate:http://ofa.bo/q920Â,[],,,
4187,4187,2015/01/12_09:31,I'm announcing new steps to protect the identities and privacy of the American people.,[],,,
7719,7719,2014/01/21_13:51,Another reason to love @FLOTUS: Dunking on @KingJames.,[],,,
8202,8202,2013/12/04_08:57,President Obama: We need strong application of anti-discrimination laws.,[],,,
