,Unnamed: 0,date,text,GPE,gpe,country,score
35436,35436,2018-06-22 13:43:06,We cannot allow our Country to be overrun by illegal immigrants as the Democrats tell their phony stories of sadness and grief hoping it will help them in the elections.,[],,,
3833,3833,2012-09-18 19:34:56,How many more non-stories will the liberal media try to manufacture so everyone ignores Obama's record?,[],,,
35323,35323,2018-06-19 14:07:02,We must always arrest people coming into our Country illegally.,[],,,
47204,47204,2019-08-15 20:18:25,Don’t let the Fake News convince you otherwise.,[],,,
5177,5177,2012-11-08 21:19:07,At the end of the day Obama won the battleground states by less than 500000 votes.,[],,,
58418,58418,2020-02-25 14:02:15,Cryin’ Chuck Schumer is complaining for publicity purposes only that I should be asking for more money than $2.5 Billion to prepare for Coronavirus.,[],,,
21497,21497,2015-12-19 22:28:10,Thank you Cedar Rapids Iowa!#MakeAmericaGreatAgain https://t.co/0llSs8U77Q https://t.co/dlpd0EkR45,[],,,
34138,34138,2018-04-21 13:10:01,Sorry I don’t see Michael doing that despite the horrible Witch Hunt and the dishonest media!,[],,,
42068,42068,2019-03-18 11:45:19,So is everyone else.,[],,,
49918,49918,2019-10-05 23:24:55,Mitt get off the stage you’ve had your turn (twice)!,[],,,
24128,24128,2016-04-22 22:21:03,Thank you @DonaldJTrumpJr!,[],,,
16612,16612,2014-12-30 21:47:04,Sometimes by losing a battle you find a new way to win the war.,[],,,
8013,8013,2013-03-04 22:12:09,For those of you defending Bret and saying Omarosa should go remember Bret chose O which could also be considered a big mistake!,[],,,
7715,7715,2013-02-26 19:17:30,Country music star @TraceAdkins returns to All-Star @CelebApprentice.,[],,,
14848,14848,2014-07-16 20:53:48,From discord find Harmony.,[],,,
10169,10169,2013-06-05 00:26:41,@happyloner   Wrong you idiot!,[],,,
57845,57845,2020-02-15 22:36:28,?…,[],,,
14065,14065,2014-04-29 14:25:39,“Horrible” and “disgusting” are the words I used in response to Sterling’s comments.,[],,,
29382,29382,2017-05-28 12:34:44,Whenever you see the words 'sources say' in the fake news media and they don't mention names....,[],,,
1342,1342,2011-12-27 19:38:11,Sadly I called this one and please remember I alone called it.,[],,,
19535,19535,2015-09-05 21:54:41,We must reduce taxes for the middle class!,[],,,
55987,55987,2020-01-20 15:43:57,Don’t let it happen VOTE REPUBLICAN in 2020!,[],,,
33290,33290,2018-02-28 12:29:56,OUR COUNTRY MUST HAVE BORDER SECURITY!,[],,,
765,765,2011-09-30 17:27:58,How many  more billions of dollars will @BarackObama continue to waste in these solar companies?,[],,,
9835,9835,2013-05-16 15:42:05,@BrianSpurr Not too many around!,[],,,
42039,42039,2019-03-17 21:31:06,RT @ChuckCallesto: President Trump Defends Judge Jeanine After Fox Censors Her Show https://t.co/NodG0t0w2I,[],,,
2574,2574,2012-05-22 20:34:53,When can we see (cont) http://t.co/HXsveYBa,[],,,
24098,24098,2016-04-20 12:42:59,Now all he can do is be a spoiler never a nice thing to do.,[],,,
33628,33628,2018-03-23 23:01:10,I say to Congress: I will NEVER sign another bill like this again.,[],,,
51242,51242,2019-10-26 14:41:18,The Fake Washington Post keeps doing phony stories with zero sources that I am concerned with the Impeachment scam.,[],,,
50694,50694,2019-10-17 04:41:22,Senate Democr…,[],,,
